department,course_id,course_name,credit_hours,course_description
COMMUNICATION STUDIES (COMM),COMM75,First-Year Seminar: Researching Society and Culture,3,"Qualitative research offers an exciting way to discover the world. In this course, students will gain focused training in qualitative research methods, learn how to analyze qualitative data, design and perform qualitative research studies, and report research findings."
COMMUNICATION STUDIES (COMM),COMM82,First-Year Seminar: Food Politics from an Organizational Communication Perspective,3,"This course provides an applied introduction to food politics by adopting a critical organizational communication lens on our globalized food system. We explore food system labor practices, the role of multinational companies and global commodity chains, the status of hunger and food deserts, the role of food marketing and consumption practices, and the growth of local and sustainable movements devoted to food justice."
COMMUNICATION STUDIES (COMM),COMM83,First-Year Seminar: Networked Societies,3,"This seminar is designed to introduce early-career students to the role that networks play in contemporary global societies. We will examine key ways to think about network societies by taking up the idea of the network in social, political, economic, cultural, and technological terms."
COMMUNICATION STUDIES (COMM),COMM84,"First-Year Seminar: Make A Zine! Do-It-Yourself Writing, Publishing, and Distribution",3,"An introduction to the history, culture, and politics of ""zines,"" self-published, small-circulation, noncommercial printed work. In this hands-on course, students will read, discuss, and create a wide variety of zines that explore a multitude of forms and genres. Students will be visited by local zine makers and participate in zine-making workshops; create a collection of their own zines; and participate in the Zine Machine: Durham Printed Matter Festival."
COMMUNICATION STUDIES (COMM),COMM85,"First-Year Seminar: Think, Speak, Argue",3,"This is a course in learning to think more critically, speak more persuasively, and argue more effectively by focusing on practical skill development in reasoning and debate."
COMMUNICATION STUDIES (COMM),COMM86,First-Year Seminar: Surveillance and Society,3,"How are surveillance technologies altering social life? This course will explore this question by mapping the complex ways that technologies and societies interact to produce security, fear, control, vulnerability, and/or empowerment."
COMMUNICATION STUDIES (COMM),COMM88,First-Year Seminar: Technologies of Popular Culture,3,"This seminar takes an historical approach to the relationship between popular culture and technological change. We will explore how artists and other workers (including audiences) in the TV, smart phone, and especially music industries have incorporated new technology into the production, distribution, and consumption of cultural commodities and experiences."
COMMUNICATION STUDIES (COMM),COMM89,First-Year Seminar: Special Topics,3,Special topics course. Content will vary each semester. Honors version available.
COMMUNICATION STUDIES (COMM),COMM100,Communication and Social Process,3,"Addresses the many ways our communication--including language, discourse, performance, and media--reflects, creates, sustains, and transforms prevailing social and cultural practices."
COMMUNICATION STUDIES (COMM),COMM113,Public Speaking,3,Theory and extensive practice in various types of speaking.
COMMUNICATION STUDIES (COMM),COMM120,Introduction to Interpersonal and Organizational Communication,3,"An introduction to communication theory, research, and practice in a variety of interpersonal and organizational contexts. This course examines the role of communication in both personal and professional relationships. Honors version available."
COMMUNICATION STUDIES (COMM),COMM130,Introduction to Media Production,3,"Permission of the instructor for nonmajors. Prerequisite for all production courses. Introduces students to basic tools, techniques, and conventions of production in audio, video, and film."
COMMUNICATION STUDIES (COMM),COMM131,Writing for the Screen and Stage,3,Restricted course.  Dramatic writing workshop open only to students in the writing for the screen and stage minor.
COMMUNICATION STUDIES (COMM),COMM140,"Introduction to Media History, Theory, and Criticism",3,"An introduction to the critical analysis of film, television, advertising, video, and new media texts, contexts, and audiences."
COMMUNICATION STUDIES (COMM),COMM142,Popular Music,3,"This class explores the historical, social, political, and cultural significances of popular music as a communicative practice in the United States from 1950 to the present."
COMMUNICATION STUDIES (COMM),COMM150,Introduction to New Media,3,"An introduction to the design, aesthetics, and analysis of various forms of digital media. Hands-on experience with different modes of creation, including graphics, web-based communication, and social media."
COMMUNICATION STUDIES (COMM),COMM160,Introduction to Performance Studies,3,"As the introductory course in performance studies, students will explore and experiment with performance as ritual, performance in everyday life, and the performance of literature. Honors version available."
COMMUNICATION STUDIES (COMM),COMM170,Rhetoric and Public Issues,3,Examines the basic nature and importance of rhetoric and argumentation. Attention is devoted to interpreting the persuasive function of texts and their relation to modern forms of life.
COMMUNICATION STUDIES (COMM),COMM171,Argumentation and Debate,3,"Analysis of issues, use of evidence, reasoning, briefmaking, and refutation. Argumentative speeches and debates on legal cases and on current events. Designed for prospective law students, public policy students, speech teachers, and college debaters."
COMMUNICATION STUDIES (COMM),COMM223,Small Group Communication,3,"Permission of the instructor for nonmajors. Introduction to the theory and practice of communication in the small group setting. Topics may include group development, conformity and deviation, gender, problem solving, and power and leadership."
COMMUNICATION STUDIES (COMM),COMM224,Introduction to Gender and Communication,3,"Examines multiple relationships among gender, communication and culture. Explores how communication creates gender and shapes relationships and how communication reflects, sustains, and alters cultural views of gender. Honors version available."
COMMUNICATION STUDIES (COMM),COMM230,Audio/Video/Film Production and Writing,3,"The material, processes, and procedures of audio, video, and film production; emphasis on the control of those elements of convention that define form in the appropriate medium. Lecture and laboratory hours."
COMMUNICATION STUDIES (COMM),COMM249,"Introduction to Communication Technology, Culture, and Society",3,"Historical exploration of the sociocultural import of communication technologies, from the introduction of the telegraph in the mid-1800s through current implications of the Internet and various digital devices."
COMMUNICATION STUDIES (COMM),COMM251,"Introduction to American Film and Culture, 1965-Present",3,"An introduction to some key connections between American film history and cultural history since 1965, most of which remain backbones of United States film culture to this day."
COMMUNICATION STUDIES (COMM),COMM260,Introduction to Performance and Social Change,3,"This course addresses the relationship between performance and power, focusing on topics concerned with the potential for performance to contribute to social change."
COMMUNICATION STUDIES (COMM),COMM262,Introduction to the Performance of Culture,3,"Introduces students to performance as a way of studying culture in all of its creative, dynamic forms, including family stories, joking, rituals, and practices of everyday life. The course emphasizes field methods and experiential research. Honors version available."
COMMUNICATION STUDIES (COMM),COMM263,Performing Literature,3,"Introduction to the study and practice of performing literature. Students will create, rehearse, and stage performances that draw on fiction, poetry, non-fiction, and/or memoir. Honors version available."
COMMUNICATION STUDIES (COMM),COMM312,Persuasion,3,"Permission of the instructor for nonmajors. Examines contemporary theory and practice of influencing others' attitudes, beliefs, and actions. Focuses particularly on analyzing and developing persuasive messages."
COMMUNICATION STUDIES (COMM),COMM318,Cultural Diversity,3,"Introduction to basic paradigms of thinking about cultural difference, encouraging students to examine how these paradigms shape how we think, act, and imagine ourselves/others as members of diverse cultures."
COMMUNICATION STUDIES (COMM),COMM325,Introduction to Organizational Communication,3,Permission of the instructor for nonmajors. The course explores the historical and theoretical developments in the research and practice of organizational communication. Honors version available.
COMMUNICATION STUDIES (COMM),COMM330,Introduction to Writing for Film and Television,3,An introduction to screenwriting for film and television.
COMMUNICATION STUDIES (COMM),COMM331,Writing the Short Film,3,"Students practice and learn the craft of narrative, short film writing by conceptualizing, outlining, writing, and rewriting three short film scripts. They include one three-minute silent, one five-minute script with dialogue, and one 15-minute script with dialogue."
COMMUNICATION STUDIES (COMM),COMM334,Writing the One-Hour TV Drama,3,"Students in this class will live the life of a writing staff on a just-picked-up, fictional, one-hour television series. As if on a real series, they will individually and cooperatively create story ideas, treatments, and outlines, as well as write scenes, acts, and entire scripts."
COMMUNICATION STUDIES (COMM),COMM335,Film Story Analysis,3,A variety of feature films (both domestic and foreign) are screened in class and analyzed from a storytelling perspective. Emphasis is on the range of possibilities the screenwriter and film director face in the process of managing the audience's emotional involvement in a story.
COMMUNICATION STUDIES (COMM),COMM337,Visual Storytelling for Screenwriters,3,Priority given to majors. This course instructs students on how to tell stories in a visual manner. How do the words on a page get translated onto a screen and how will the writer collaborate visually with a director? It is designed for writers to better understand how their scripts are interpreted and to improve visual writing.
COMMUNICATION STUDIES (COMM),COMM345,Gender and Film,3,This course examines the representations of women in contemporary American film and also considers women as producers of film.
COMMUNICATION STUDIES (COMM),COMM348,Algorithms and Society,3,"Society, we're told, is increasingly subject to automated decisions rendered by algorithm. What effects do algorithmic classifications have on social, cultural, and economic life? When, how, and why do institutions use algorithms? Are they really more ""objective"" than human decisions? How are the costs and benefits of algorithmic systems distributed? What does it mean to say we now live in an ""algorithmic society""?"
COMMUNICATION STUDIES (COMM),COMM350,Practices of Cultural Studies,3,"Introduces students to the history, methods, and central intellectual questions of cultural studies."
COMMUNICATION STUDIES (COMM),COMM355,Terrorism and Political Violence,3,"This course is a multi-disciplinary analysis of the phenomena of terrorism and political violence, their history, causes, the threat they pose, and what steps the United States can take in response."
COMMUNICATION STUDIES (COMM),COMM360,Social Media and Society,3,"This class examines the relationship between society and computer-mediated communication technologies known as ""social media,"" including Facebook, Snapchat, Instagram, Twitter, YouTube, and more. It aims to break down the mythologies of social media and develop methods of analysis and critical understanding. Drawing from communication, sociology, anthropology, and cultural studies, students will understand social media's role within a larger social context."
COMMUNICATION STUDIES (COMM),COMM371,Argumentation,3,"This course examines the theory and practice of argument and deliberation in communication studies, drawing from resources in rhetorical studies, informal logic, and argumentation. Intended for pre-law, public policy and other students interested in argumentation."
COMMUNICATION STUDIES (COMM),COMM372,The Rhetoric of Social Movements,3,"Explores the discourse of dissident voices in American society, particularly as they speak about grievances pertaining to race, gender, the environment; focuses on rhetorical strategies that initiate and sustain social movements."
COMMUNICATION STUDIES (COMM),COMM374,The Southern Experience in Rhetoric,3,Examines recurrent themes in the rhetoric of significant Southerners and important campaigns. Considers both the rhetoric of the establishment and the rhetoric of change.
COMMUNICATION STUDIES (COMM),COMM375,Environmental Advocacy,3,"Explores rhetorical means of citizen influence of practices affecting our natural and human environment; also, study of communication processes and dilemmas of redress of environmental grievances in communities and workplace."
COMMUNICATION STUDIES (COMM),COMM386,Dance and Embodied Knowledge in the Indian Context,3,"In this theory-practice course focusing on religion, performance, and South Asian studies we will analyze the nature of embodied knowledge, aesthetic theory, and the creative power of dance performance in the Indian context. The course also includes a practical component involving embodied experience with Indian classical dance forms."
COMMUNICATION STUDIES (COMM),COMM387,"Disciplining the Body and Mind: The Martial Arts of East Asia in Religion, History, and Culture",3,"This course offers an introduction to the history and practice of East Asian martial arts. We will explore the social, political, and cultural contexts of the martial arts, from the classical period to the present. Integral to this course is a practical component involving embodied experience with martial arts training."
COMMUNICATION STUDIES (COMM),COMM390,Special Topics in Communication Study,3,A special topics course on a selected aspect of communication studies.
COMMUNICATION STUDIES (COMM),COMM393,Internships,1,Permission of the department. Majors only. 2.5 cumulative grade point average required. Individualized study closely supervised by a faculty advisor and by the departmental coordinator of internships. Cannot count toward the COMM major.
COMMUNICATION STUDIES (COMM),COMM396,Independent Study and Directed Research,1,Permission of the department. Majors only. 3.0 cumulative grade point average and 3.5 communication studies grade point average required. For communication studies majors who wish to pursue independent research projects or reading programs under the supervision of a selected instructor. Intensive individual research on a problem designed by instructor and student in conference.
COMMUNICATION STUDIES (COMM),COMM412,Critical Theory,3,"An introduction to European modern and contemporary philosophy, from the enlightenment to contemporary postmodernism."
COMMUNICATION STUDIES (COMM),COMM422,Family Communication,3,"Growth in technologies, more frequent travel, and movements of products and people across the borders of nation states change concepts of family and community. Foregrounded by these realities, this course combines theories of family and communication with documentation of lived experience to interrogate family communication patterns in contemporary culture. Honors version available."
COMMUNICATION STUDIES (COMM),COMM423,"Critical Perspectives on Work, Labor, and Professional Life",3,"This upper level seminar develops a critical perspective on work, labor, and professional life within the global context. Throughout, we will engage in moral and philosophical debates about the status of labor and the meanings of work in our daily lives."
COMMUNICATION STUDIES (COMM),COMM430,History of American Screenwriting,3,"This viewing and research-intensive course examines the history of American narrative film through the screenwriter's experience, using a decade-by-decade approach to examine the political, social, global, psychological, religious, and cultural influences on the art, process, and careers of screenwriters."
COMMUNICATION STUDIES (COMM),COMM431,Advanced Audio Production,3,Advanced analysis and application of the principles and methods of audio production.
COMMUNICATION STUDIES (COMM),COMM432,Visual Culture,3,"Course provides an overview of theories of visual culture. We apply these theories to better understand contemporary visual media and technologies, along with the everyday media practices they support."
COMMUNICATION STUDIES (COMM),COMM433,Intermediate Screenwriting,3,Open only to students in the writing for the screen and stage minor. Conceiving and outlining a feature-length screenplay.
COMMUNICATION STUDIES (COMM),COMM435,Memory Acts,3,"Advanced introduction to foundational work in memory and performance studies, emphasizing theory and practice of various forms of remembering. Honors version available."
COMMUNICATION STUDIES (COMM),COMM437,United States Black Culture and Performance,3,"Examines how the United States Black experience is constituted in and through performance across a range of cultural contexts including the antebellum South, Reconstruction, the Harlem Renaissance, the Black Aesthetic, and contemporary urban life."
COMMUNICATION STUDIES (COMM),COMM450,Media and Popular Culture,3,"Permission of the instructor for nonmajors. Examination of communication processes and cultural significance of film, television, and other electronic media."
COMMUNICATION STUDIES (COMM),COMM453,The History of New Media Technology in Everyday Life,3,"The starting point for this course, chronologically and conceptually, is the emergence of popular media technology. Our purview includes transformative innovations in mediated communication, such as telephony and e-mail, alongside familiar media technologies such as televisions and computers."
COMMUNICATION STUDIES (COMM),COMM454,Media and Activism,3,A study of the electronic media as a feedback mechanism for community organization and social change. A variety of broadcast and nonbroadcast uses of the media are studied.
COMMUNICATION STUDIES (COMM),COMM455,Sound Studies,3,"This course is about sound and the auditory dimension. In a society dominated by images and spectacle, sound and listening have been remarkably under-appreciated. Sound is physical-the vibration of molecules according to frequencies, pitches, and intensities-and biological-our ability to hear is an evolutionary trait. But sound is also cultural (what qualifies as signal or noise?), technological (how is sound recorded and reproduced?), and historical (how has the soundscape changed and how have we listened differently)."
COMMUNICATION STUDIES (COMM),COMM463,Creating the Solo Performance,3,"This course examines processes of creating and performing solo work. Students engage a variety of performances: autobiographical, representation of the lives of other/s, and exploration of cultural or political ideas."
COMMUNICATION STUDIES (COMM),COMM464,Collaborative Performance,3,"Theory and practice of collaborative performance, emphasizing image, intertextual adaptation, site-specific and installation work, avant-garde traditions, and the play of time and space. Honors version available."
COMMUNICATION STUDIES (COMM),COMM466,Advanced Study in Performing Literature,3,"This course engages the theory and embodiment of prose fiction, poetry, and other kinds of literary texts, including nonfiction. Students practice adaptation and script preparation, solo/group performance, and performance critique."
COMMUNICATION STUDIES (COMM),COMM470,Political Communication and the Public Sphere,3,"A course covering the relationship between communication and political processes and institutions. Topics include media coverage and portrayal of political institutions, elections, actors, and media influence on political beliefs."
COMMUNICATION STUDIES (COMM),COMM471,Rhetorics of Public Memory,3,Takes up the fundamental assumptions of contemporary memory studies and the centrality of rhetoric to memory.  Research focus on how constructions of the past respond to the present and future.
COMMUNICATION STUDIES (COMM),COMM472,Rhetorical Criticism,3,Approaches to the analysis and assessment of rhetorical practice with a focus on how rhetoric reflects and shapes public culture.
COMMUNICATION STUDIES (COMM),COMM490,Special Topics in Communication Studies,3,Permission of the instructor for nonmajors. A special topics course on a selected aspect of communication studies.
COMMUNICATION STUDIES (COMM),COMM499,The Dark Side of Interpersonal Communication,3,"The ""dark side"" of communication is a metaphor describing the study of disruptive, dysfunctional, distorted, distressing, and destructive aspects of communication. This course explores humanity's darker side that allows us to reject, exclude, stigmatize, exploit, objectify, misguide, lie, and cheat. The course examines various theoretical perspectives and applies them to everyday problems in interpersonal encounters. A sample of topics discussed include: prejudice, stigma, marginalization, bullying, ostracism, resistance, manipulation, conformity, deceit, gossip, rumors, infidelity, and revenge."
COMMUNICATION STUDIES (COMM),COMM500,Visual and Material Rhetoric,3,This course explores the use of rhetorical criticism as a way to understand how the visual and material are used for symbolic and political purposes. Examples ranging from news images to public art will be studied.
COMMUNICATION STUDIES (COMM),COMM521,Communication and Social Memory,3,"Permission of the instructor for nonmajors. An investigation of psychological aspects of communication, particularly the perceptual and interpretive processes underlying the sending and receiving of messages."
COMMUNICATION STUDIES (COMM),COMM523,Communication and Leadership,3,Permission of the instructor for nonmajors. Critical examination of alternative theories of leadership and trends in the study of leadership; focuses on the communicative dimensions of leadership.
COMMUNICATION STUDIES (COMM),COMM524,"Gender, Communication, and Culture",3,Course examines the speeches and other texts that announced and embodied the goals and political strategies of multiple branches of three waves of feminist activism in the United States.
COMMUNICATION STUDIES (COMM),COMM525,Organizational Communication,3,"Permission of the instructor for nonmajors. Provides a critical exploration of organizational communication theory, research, and application, examining the factors involved in the functioning and analysis of complex organizations."
COMMUNICATION STUDIES (COMM),COMM526,Critical-Cultural Approaches to Organizational Communication,3,The study of organizational culture operates on a set of assumptions distinct from traditional management perspectives. This course explores the cultural perspective as an alternative approach to understanding organizational communication processes.
COMMUNICATION STUDIES (COMM),COMM527,Organizational Ethics,3,"A critical examination of the theory, research, and practice of organizational ethics."
COMMUNICATION STUDIES (COMM),COMM532,Performing the Screenplay,3,"Introduces students to approaches for creating performance from screenplays and other texts for electronic media forms, focusing on scripts as literature and the tensions between live and electronically delivered performances."
COMMUNICATION STUDIES (COMM),COMM534,Aesthetic and Technical Considerations in Making Short Videos,3,The course examines the aesthetic and technical elements at work and play in cinematic storytelling. The student is required to complete three projects and will gain hands-on experience in narrative filmmaking.
COMMUNICATION STUDIES (COMM),COMM535,Introduction to Screen Adaptation,3,"Students practice the craft of screen adaptation by conceptualizing, outlining, and writing scenes based on material from another medium (both fiction and nonfiction). Work is presented, discussed, and performed in a workshop environment."
COMMUNICATION STUDIES (COMM),COMM537,Master Screenwriting,3,"Open only to students in the writing for the screen and stage minor. Students will write and workshop a full-length feature film screenplay. Students will learn about the film and television business through a combination of research, in-class discussions, and interactive interviews with industry insiders."
COMMUNICATION STUDIES (COMM),COMM549,Sexuality and Visual Culture,3,"Examines questions about sexuality and how it has changed over time, through various media of visual communication."
COMMUNICATION STUDIES (COMM),COMM561,Performance of Women of Color,3,"Explores through performance contemporary poetry, fiction, nonfiction, and feminist thought by women of color in the United States. Honors version available."
COMMUNICATION STUDIES (COMM),COMM562,Oral History and Performance,3,This course combines readings and field work in oral history with the study of performance as a means of interpreting and conveying oral history texts. Honors version available.
COMMUNICATION STUDIES (COMM),COMM564,Performance and Popular Culture,3,"Critical examination of the operation of performance as a cultural phenomenon, with an emphasis on meaning, power,  and resistance in cultural events, social practices, and media spectacles."
COMMUNICATION STUDIES (COMM),COMM568,Adapting and Directing for the Stage,3,"This course introduces students to practices in adapting and directing literary texts for live ensemble performance. Students will create original performance work, engage in collaborative critique, and discuss the development of aesthetic value."
COMMUNICATION STUDIES (COMM),COMM571,Rhetorical Theory and Practice,3,"Investigates the theoretical definitions and uses of rhetorical interpretation and action in spoken, written, visual, material practices, discourses, and events."
COMMUNICATION STUDIES (COMM),COMM572,Public Policy Argument,3,Analyzes argument in a variety of contexts with an emphasis on public policy and exploring tensions involved in addressing both expert and public audience in the political sphere. Honors version available.
COMMUNICATION STUDIES (COMM),COMM573,The American Experience in Rhetoric,3,"Examines public discourse from the colonial period to the present. Discourses, critical perspectives, and historical periods studied will vary."
COMMUNICATION STUDIES (COMM),COMM574,War and Culture,3,"Examines American cultural myths about war generally and specifically about the causes of war, enemies, weapons, and warriors, and the way these myths constrain foreign and defense policy, military strategy, and procurement."
COMMUNICATION STUDIES (COMM),COMM575,Presidential Rhetoric,3,"The power of the presidency depends in part upon the president's ability to rally public opinion, which depends upon the president's ability to use the ""bully pulpit."" This course examines the hurdles presidents face and the steps presidents take to shape opinion."
COMMUNICATION STUDIES (COMM),COMM576,"Making and Manipulating ""Race"" in the United States",3,"This course will examine how tropes of ""race"" are symbolically invented and experienced psychologically and emotionally. This course assesses how ""race"" reflects and shapes cultural politics."
COMMUNICATION STUDIES (COMM),COMM577,Rhetoric and Black Culture,3,This course will explore the complex ways in which Black aesthetic forms and creative expression function as public discourse.
COMMUNICATION STUDIES (COMM),COMM596,Advanced Independent Study/Directed Reading,1,Permission of the department. Majors only. 3.0 cumulative grade point average and 3.5 communication studies grade point average required. For the communication studies major who wishes to pursue an advanced independent research project under the supervision of a selected instructor. Intensive individual research on a problem designed by instructor and student in conference.
COMMUNICATION STUDIES (COMM),COMM620,Theories of Interpersonal Communication,3,Permission of the instructor for nonmajors. Course focuses on how communication is used to build and sustain interpersonal relationships. Forms and functions of communication are examined as a means of testing and defining relationships.
COMMUNICATION STUDIES (COMM),COMM622,Environmental Filmmaking: Creative Production and Social Impact,3,"A workshop to study and create non-fiction films about the environment. The course examines aesthetic, narrative, and representational strategies with an eye to how these films can contribute to critical conversations about our species' impact on the natural world. Special attention will be paid to questions of environmental justice and the disproportionate effects of environmental hazards on communities of color and low-income communities."
COMMUNICATION STUDIES (COMM),COMM624,Hate Speech,3,The primary focus of hate speech is on the ways that interactants manipulate hatred to accomplish a variety of social and personal goals. The pursuit of this focus will allow the student to appreciate the operation of hatred in a variety of contexts. Often taught as a service-learning course.
COMMUNICATION STUDIES (COMM),COMM625,Communication and Nonprofits in the Global Context,3,"Introduces students to the opportunities, challenges, and rewards of participation within the nonprofit/NGO sector. The course also equips students with the skills needed to design and conduct engaged scholarship."
COMMUNICATION STUDIES (COMM),COMM635,Documentary Production,3,"A workshop in the production of video and/or film nonfiction or documentary projects. The course will focus on narrative, representational, and aesthetic strategies of documentary production."
COMMUNICATION STUDIES (COMM),COMM636,Interactive Media,3,"Explores interactive media through creative projects that include sound, video, and graphic elements. Technical information will serve the broader goal of understanding the aesthetics and critical issues of interactive media."
COMMUNICATION STUDIES (COMM),COMM638,Game Design,3,Permission of the instructor for nonmajors. Studio course that explores gaming critically and aesthetically. Practice in game design and production including 3-D worlds and scripting.
COMMUNICATION STUDIES (COMM),COMM640,Game Studio,3,"Game Studio is a project-based course in the new media track. This course is designed to provide a structured environment, instructor and peer feedback, along with technical and conceptual resources in which to complete a new media project. Students may work individually or on collaborative teams. The class focuses on idea development, design, and experimentation."
COMMUNICATION STUDIES (COMM),COMM642,Special Topics in Cultural Studies,3,"Permission of the instructor for nonmajors. This course will explore various specific topics, theories, and methodologies in cultural studies."
COMMUNICATION STUDIES (COMM),COMM644,Documentary Production: First Person Filmmaking,3,"Students create documentaries emphasizing the filmmaker's personal perspective and experience: essay, diary, and autobiographical films, and pieces in which the filmmaker performs a role for expressive or political ends. Significant class time is devoted to work-shopping student films."
COMMUNICATION STUDIES (COMM),COMM645,The Documentary Idea,3,"Permission of the instructor for nonmajors. Historical and theoretical examination of expressions of the documentary idea in different eras and various modes including film, television, and radio."
COMMUNICATION STUDIES (COMM),COMM646,Introduction to the Art and Mechanics of Two-Dimensional Digital Animation,3,"Students use Adobe After-Effects and Adobe Photoshop as their primary image software to create several original animations. Assignments are given weekly, and a substantial final project is expected."
COMMUNICATION STUDIES (COMM),COMM647,Advanced Projects in Media Production,3,"Recommended preparation, several production courses above COMM 230. Course provides a structured environment, instructor and peer feedback, along with production and postproduction resources for completing advanced near-to-graduation media projects. Projects can be narrative, documentary, experimental, or interactive."
COMMUNICATION STUDIES (COMM),COMM650,Cultural Politics of Global Media Economies,3,"Primary subjects will be popular culture and media technology, and guiding questions will be organized around the relationships of each to commerce and/as social change."
COMMUNICATION STUDIES (COMM),COMM652,Media and Difference,3,"Permission of the instructor for nonmajors. This course examines critical and theoretical issues concerning the representation and study of various modes of difference, such as sexuality, race, and gender, in specific media texts."
COMMUNICATION STUDIES (COMM),COMM653,Experimental Video,3,This course allows students to create video productions that play with forms that lie outside of mainstream media.
COMMUNICATION STUDIES (COMM),COMM654,"Motion Graphics, Special Effects, and Compositing",3,In this course students learn a wide range of video post production techniques working mostly with the application After Effects.
COMMUNICATION STUDIES (COMM),COMM655,Television Culture,3,"This course introduces students to critical television studies. The course emphasizes not television or culture as separate entities but instead ""Television Culture."" The focus of the class is on the interrelationship between television and contemporary culture."
COMMUNICATION STUDIES (COMM),COMM656,Sound for Film and Video: Theory and Practice for Motion Picture Sound Design,3,"The aim of this course is to provide students who have an interest in film and video production with an understanding of the technical, conceptual, and aesthetic implications of the motion picture soundtrack, with a special emphasis on sound-image relationships. Students who have already developed a basic proficiency in the use of video cameras, audio recorders, and editing software will be asked to cultivate an understanding of and appreciation for the expressive and artistic possibilities."
COMMUNICATION STUDIES (COMM),COMM657,Movie Making Machines: Learning About Cinema in the Maker Space,3,"This projects-based seminar will introduce students to the fundamental optical and technological principles of motion pictures. By using the Maker Space to design and fabricate pinhole cameras, zoetropes, and 16mm film strips, students will gain a deep understanding of the material and technological foundations of the cinema, and the operating principles that are behind not only the classic films of Hollywood's past, but the high-definition digital imaging technologies of the present."
COMMUNICATION STUDIES (COMM),COMM658,Surveillance Cultures,3,"We live in surveillance societies. Just about every element of our lives is affected by surveillance: workplaces and schools, social media sites and mobile phone use, police encounters and security screening. Surveillance practices shape how institutions operate and how people see themselves and others. The goal of this course is to develop a critical awareness of surveillance and its implications for society."
COMMUNICATION STUDIES (COMM),COMM660,Advanced Projects in Performance Studies,3,"Course provides a workshop setting for the process of creation, dramaturgy, development, analysis, and critique of graduates' and undergraduates' original performance work, focusing on the needs of each project in progress."
COMMUNICATION STUDIES (COMM),COMM661,Race and Ethnicity,3,"Examines race and ethnicity in specific geopolitical contexts as discursive formations, performative identities, and lived realities. Studies disciplinary/political boundaries that are produced and maintained through acts of performance."
COMMUNICATION STUDIES (COMM),COMM662,Black/African Diaspora Performance,3,"Recommended preparation, COMM 160. Relying on critical race theories, colonial and postcolonial theories, and theories of performance, this course engages comparative discourses of Black/African diaspora citizenship through the literature, poetry, fiction, nonfiction, drama, and cultural performances of people of African descent, particularly in Africa, Europe, and the Americas."
COMMUNICATION STUDIES (COMM),COMM665,"Performance, Politics, and Culture",3,"This course is a arts-based inquiry into the ways in which performance and theatricality structure contemporary politics, culture, and everyday life, as well as the ways in which artists utilize performance as mode of political engagement."
COMMUNICATION STUDIES (COMM),COMM666,Media in Performance,3,"Required preparation, one performance studies course above COMM 400. Permission of the instructor for students lacking the required preparation.  Project-based class where students acquire skills and critical approaches to create collaborative, professional, multimedia works."
COMMUNICATION STUDIES (COMM),COMM667,Performance Activism,3,"History and practice of performance in contemporary social movements.  Practical exploration of direct action, guerilla theatre, and performance interventions."
COMMUNICATION STUDIES (COMM),COMM676,Digital Media and Live Performance,3,"Permission of the instructor for undergraduates. Intended for students from various majors, this course provides a foundation in the history, theory, and practice of developing live, technologically-intensive, multimedia performance works. The course analyzes new media masterworks, addresses techniques of interdisciplinary collaboration, and offers workshops in specific software/technology applications."
COMMUNICATION STUDIES (COMM),COMM681,Contemporary Film Theory,3,"Overview of poststructuralist, or ""contemporary"" film theory. Traces its development, its techniques, fierce critiques lobbed at it since the early 1980s, and its points of continuing importance."
COMMUNICATION STUDIES (COMM),COMM682,"History of the Moving Image: Pasts, Presents, Futures",3,"Theories of moving images and imaging technologies--from the primitive to the not-yet-existing--that focus on their multifaceted relations with various registers of time, memory, flux, and futurity."
COMMUNICATION STUDIES (COMM),COMM690,Advanced Topics in Communication Studies,3,Permission of the instructor for nonmajors. A special topics course on a selected aspect of communication studies. May be repeated. Honors version available.
COMMUNICATION STUDIES (COMM),COMM691H,Honors in Cultural Studies,3,Permission of the instructor. Required of all senior honors candidates in cultural studies. First semester of senior honors thesis.
COMMUNICATION STUDIES (COMM),COMM692H,Honors in Cultural Studies,3,Permission of the instructor. Required of all senior honors candidates in cultural studies. Second semester of senior honors thesis.
COMMUNICATION STUDIES (COMM),COMM693H,Honors,3,Permission of the department. Majors only. Cumulative grade point average must meet University standard. Individual projects designed by students and supervised by a faculty member.
COMMUNICATION STUDIES (COMM),COMM694H,Honors,3,Permission of the department. Majors only. Cumulative grade point average must meet University standard. Individual projects designed by students and supervised by a faculty member.
COMMUNICATION STUDIES (COMM),COMM695,Field Methods,3,"Recommended preparation, COMM 562 or 841. A bridge course designed to offer graduate students and advanced undergraduates a practicum in fieldwork methods and performance ethnography."
COMMUNICATION STUDIES (COMM),COMM700,Introduction to Modern Philosophy and Contemporary Theory,3,Considers the emergence of modern and contemporary social and cultural theory. Surveys major paradigms of modern and contemporary philosophy.
COMMUNICATION STUDIES (COMM),COMM701,Introduction to Research and Theory in Communication Studies II,3,Admission to graduate program or permission of the department. Considers theory and philosophy in the study of communication. Surveys major paradigms of contemporary social/cultural theory (and their roots in modern philosophy) in relation to examples of communication research and practice. Second of two semesters.
COMMUNICATION STUDIES (COMM),COMM702,Teaching in Communication Studies,3,Communication studies graduate students only. An introduction to teaching at the university level for new teaching assistants and graduate students hoping to have teaching-related responsibilities in communication studies. It is designed to encourage us to have intellectually rigorous and personally meaningful conversations about our teaching.
