h2,h3,p,program,department
Special Opportunities in Classics,Additional Opportunities,"The Department of Classics supports a number of activities, including informal reading groups; the local chapter of Eta Sigma Phi, the national undergraduate classics honorary society; and annual oral performances and prize competitions in reciting and translating Greek and Latin texts. Several of the prize competitions involve substantial cash awards. Opportunities for undergraduate research include especially the senior honors thesis and participation in archaeological fieldwork as research assistants. The department encourages majors and minors to take part in summer archaeological field projects. Other opportunities for study abroad include the programs of the Intercollegiate Center for Classical Studies in Rome and the College Year in Athens, and the exchange with Kings College London. A number of departmental fellowships and other funding opportunities can help support participation in archaeological field projects and other research projects. Lastly, the DukeUNC Consortium for Classical and Mediterranean Archaeology provides archaeology students access to coursework, seminars, excavations and other research opportunities, academic advising, and avenues for curricular and extracurricular interaction across both institutions. For further information about prizes, fellowships, and opportunities for research and study abroad, see the departmental website.","Classics Major, B.A.–Greek, Latin, and Combined Greek and Latin",Classics
,,See the program page here for special opportunities.,Classical Humanities Minor,Classics
,,See the program page here for special opportunities.,Greek Minor,Classics
,,See the program page here for special opportunities.,Latin Minor,Classics
Special Opportunities in Communication,Honors in Communication Studies,"The department participates in the Universitys Honors Program. Students eligible for the program (see University requirements) may consult with the departmental honors advisor about enrolling in COMM693H and COMM694H, or COMM691H and COMM692H for honors students in cultural studies. These courses can be used for elective credit in the major but not for satisfying core course or concentration requirements. Additional information can be found on the department website.","Communication Studies Major, B.A.",Communication
Special Opportunities in Communication,Independent Study,The opportunity for independent study is available through enrollment in COMM396 or COMM596. Interested students should consult a faculty advisor in the department. Please see the department website for details.,"Communication Studies Major, B.A.",Communication
Special Opportunities in Communication,Internships,"The department has an extensive internship program in media-related industries, business, public service, and other organizations. Internships allow students to explore the relationship between communication theory and its practice in everyday life. Credit can be obtained through consultation with the internship advisor and enrollment in COMM393. More than 100 organizations have participated in the program. The department also offers the Hollywood Internship Program, a summer study and work opportunity for selected students interested in pursuing careers in the film industry. Note: Internship credit counts as elective hours and does not count toward the 30 credit hours required for the major.","Communication Studies Major, B.A.",Communication
Special Opportunities in Communication,WUNC Radio and WUNC-TV,Limited opportunities exist for internships and employment with the public radio and television stations in Chapel Hill and in the Research Triangle Park.,"Communication Studies Major, B.A.",Communication
Special Opportunities in Communication,Performance Opportunities,"Students are involved in writing and adapting plays and screenplays, directing, and participating in staged productions for the public. Additionally, students often appear in regular performances sponsored by graduate students in the Department of Communication and in productions directed by faculty members.","Communication Studies Major, B.A.",Communication
Special Opportunities in Communication,Student Television (STV),STV is a student-run video production operation that provides hands-on opportunities in a variety of programming assignments.,"Communication Studies Major, B.A.",Communication
About,,This association is committed to enabling students in developing their cinematic craft. It accomplishes its mission by offering resources and guidance to students pursuing cinematic projects through self-contained or episodic forms.Study AbroadStudents may take coursework toward the major through the Universitys study abroad program. Departmental approval for major credit is required.,"Communication Studies Major, B.A.",Communication
About,Undergraduate Awards,"The department offers a number of awards for leadership and contributions to the field, in all areas of specialization. Awards are presented at a department ceremony in the spring semester.","Communication Studies Major, B.A.",Communication
Special Opportunities in Communication,Honors in Communication Studies,"The department participates in the Universitys Honors Program. Students eligible for the program (see University requirements) may consult with the departmental honors advisor about enrolling in COMM693H and COMM694H, or COMM691H and COMM692H for honors students in cultural studies. These courses can be used for elective credit in the major but not for satisfying core course or concentration requirements. Additional information can be found on the department website.","Interdisciplinary Studies Major, B.A.–Cultural Studies",Communication
Special Opportunities in Communication,Independent Study,The opportunity for independent study is available through enrollment in COMM396 or COMM596. Interested students should consult a faculty advisor in the department. Please see the department website for details.,"Interdisciplinary Studies Major, B.A.–Cultural Studies",Communication
Special Opportunities in Communication,Internships,"The department has an extensive internship program in media-related industries, business, public service, and other organizations. Internships allow students to explore the relationship between communication theory and its practice in everyday life. Credit can be obtained through consultation with the internship advisor and enrollment in COMM393. More than 100 organizations have participated in the program. The department also offers the Hollywood Internship Program, a summer study and work opportunity for selected students interested in pursuing careers in the film industry. Note: Internship credit counts as elective hours and does not count toward the 30 credit hours required for the major.","Interdisciplinary Studies Major, B.A.–Cultural Studies",Communication
Special Opportunities in Communication,WUNC Radio and WUNC-TV,Limited opportunities exist for internships and employment with the public radio and television stations in Chapel Hill and in the Research Triangle Park.,"Interdisciplinary Studies Major, B.A.–Cultural Studies",Communication
Special Opportunities in Communication,Performance Opportunities,"Students are involved in writing and adapting plays and screenplays, directing, and participating in staged productions for the public. Additionally, students often appear in regular performances sponsored by graduate students in the Department of Communication and in productions directed by faculty members.","Interdisciplinary Studies Major, B.A.–Cultural Studies",Communication
Special Opportunities in Communication,Student Television (STV),STV is a student-run video production operation that provides hands-on opportunities in a variety of programming assignments.,"Interdisciplinary Studies Major, B.A.–Cultural Studies",Communication
About,,This association is committed to enabling students in developing their cinematic craft. It accomplishes its mission by offering resources and guidance to students pursuing cinematic projects through self-contained or episodic forms.Study AbroadStudents may take coursework toward the major through the Universitys study abroad program. Departmental approval for major credit is required.,"Interdisciplinary Studies Major, B.A.–Cultural Studies",Communication
About,Undergraduate Awards,"The department offers a number of awards for leadership and contributions to the field, in all areas of specialization. Awards are presented at a department ceremony in the spring semester.","Interdisciplinary Studies Major, B.A.–Cultural Studies",Communication
,,"See the program pages in Communication,Dramatic Art, andEnglish and Comparative Literature for special opportunities.",Writing for the Screen and Stage Minor,Communication
,,See the program page here for special opportunities.,Comparative Literature Minor,English and Comparative Literature
,,See the program page here for special opportunities.,"Composition, Rhetoric, and Digital Literacy Minor",English and Comparative Literature
Honors in Creative Writing,,"To qualify for a degree with honors or highest honors in creative writing, students must maintain a 3.3 grade point average and meet all requirements both to enter and to complete the senior honors seminar (ENGL693H and ENGL694H).See the program page here for additional special opportunities.",Creative Writing Minor,English and Comparative Literature
,,See the program page here for special opportunities.,English Minor,English and Comparative Literature
,,See the program page here for special opportunities.,Latina/​o Studies Minor,English and Comparative Literature
,,See the program page here for special opportunities.,"Medicine, Literature, and Culture Minor",English and Comparative Literature
Special Opportunities in Germanic and Slavic Languages and Literatures,Honors in Germanic and Slavic Languages and Literatures,"Students majoring in Germanic and Slavic languages and literatures who are qualified for honors work are strongly encouraged to consider taking honors thesis during their senior year. Undertaking an honors project gives students the opportunity to explore a topic in depth under the direction of a faculty member. Students who wish to do honors work should confer with the director of undergraduate studies and choose an honors thesis advisor during the first or second semester of their junior year, and complete an honors thesis contract. Second-semester juniors or first-semester seniors will be enrolled in GSLL691H (honors reading and special studies) for their first semester of honors thesis work, once the honors thesis contract is fully approved. For the second semester, once an updated contract is completed, students will be enrolled in GSLL692H (writing the honors thesis). When GSLL693H is offered, the course replaces GSLL692H and provides an opportunity for students majoring in any of our concentrations to complete their thesis in the context of a small seminar with other honors students. One of these honors courses may count toward the major.","Germanic and Slavic Languages and Literatures Major, B.A.–Central European Studies Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Student Involvement and Cultural Enrichment beyond the Classroom,"Numerous social and educational events hosted by the department, as well as by student clubs such as the German Club, provide an atmosphere for effective learning and for enjoying German and Slavic culture. There are weekly opportunities in German, Russian, and other languages for informal conversation suitable for both beginning and advanced students. The department periodically sponsors lectures, roundtables, small conferences, and film series for the various languages. Those considering an undergraduate major or minor should request to be added to the appropriate e-mail listserv, in order to ensure they receive information regarding special events and opportunities.The department also hosts receptions and informational meetings for students interested in pursuing a major or minor, or for those seeking opportunities for internships, study abroad, graduate study, and employment in Germany, Russia, and Eastern or Central Europe. Every spring the department presents a Slavic and East European talent night, or Spektakl, featuring skits, songs, puppet shows, plays, and poetry readings in the Slavic and East European languages students are learning. The department also presents full-length plays and dramatic readings in German performed by undergraduate students.","Germanic and Slavic Languages and Literatures Major, B.A.–Central European Studies Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Study Abroad,"The department encourages students to study and/or engage in internships abroad. These opportunities maximize students linguistic and cultural proficiency, particularly once they have acquired sufficient language skills to benefit most from this immersion experience. Students may participate for a whole year, a single term, or a summer.The Study Abroad Office offers German programs at all universities in the German state of Baden-Wrttemberg, as well as a dedicated exchange program with the Eberhard-Karls-Universitt Tbingen; the Freie University (FUBEX) in Berlin, and the University of Freiburg; at the Vienna (Austria) University of Economics and Business Administration; at the IES European Union and Environmental Programs in Freiburg (Germany); and at the IES Program (3 tracks) in Vienna. Most German programs require that participating students have passed GERM204 (or its equivalent); however, students with no prior knowledge of German may attend the FUBiS or FU-BEST programs in Berlin or the IES program in Freiburg, or also the Baden-Wrttemburg exchange university of Mannheim which offers a number of courses in English. These programs generally include intensive language instruction in addition to content courses taught in English, and most programs offer an orientation course prior to the start of the semester. The yearlong term typically begins in late August and ends in late July, with a two-month vacation between semesters that many students use for travel. Students going abroad for only one term generally do so in the spring semester, which typically begins in late February and ends in late July.The DAAD in conjunction with German universities usually offers some summer internships. Please see an undergraduate advisor in the department office about these opportunities.Students who choose to study Dutch may study abroad in Amsterdam through the IES, or attend SIT Netherlands Program International Perspective on Sexuality and Gender. Exchange programs also are offered in Nijmegen and Groningenand the Erasmus University Rotterdam.Most courses are offered in English but students can study Dutch and even German. Students in economics and/or communication studies may take courses in English at the Erasmus University Rotterdam.Students can study in semester or yearlong programs in Russia, including in Moscow, St. Petersburg, and Vladimir, while earning credit towards their Carolina degree. Students also may participate in the ACTR Moscow summer program in Russia. UNCChapel Hill offers semester-long programs in Prague, Czech Republic, Dobrovnik, Croatia, Budapest, Hungary, and Krakow, Poland (summer also offered). For more information about these and other programs in eastern and central Europe, go to studyabroad.unc.edu. Majors and minors should consult with the director of undergraduate studies or the appropriate undergraduate advisor in advance of going abroad about courses they plan to take for the major or minor.","Germanic and Slavic Languages and Literatures Major, B.A.–Central European Studies Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Languages across the Curriculum,"The Languages across the Curriculum (LAC) Program encourages majors and minors to enroll in one-credit-hour recitation or discussion sections that are conducted in German or another of our languages, but associated with a variety of courses offered in English on a related subject. Each of these discussion and recitation sections counts as one German language credit (in addition to the credit granted for the course).","Germanic and Slavic Languages and Literatures Major, B.A.–Central European Studies Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Undergraduate Awards,"Membership in the Beta Rho chapter of Delta Phi Alpha, the German honors society, is available to majors and minors who have completed at least six credit hours of German language coursework at the 300 level and who have maintained high cumulative grade point averages and high grade point averages in the major.The department selects annually one outstanding graduating senior majoring in German to receive the Undergraduate Ria Stambaugh Award for Excellence in German, a monetary award that is presented at the Chancellors Awards Ceremony each spring. Ria Stambaugh was a popular professor of German; after her death in 1984 her sister, friends, and colleagues contributed to a memorial fund to establish the Ria Stambaugh Awards. The undergraduate award was first presented in 1987.Established in 1999, the Paul Debreczeny Prize is awarded each spring to a graduating senior whose work in Slavic languages and literatures has been judged outstanding. This monetary prize honors one of the founding faculty members of the program in Slavic languages and literatures.","Germanic and Slavic Languages and Literatures Major, B.A.–Central European Studies Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Undergraduate Research,"In addition to honors thesis work, students are encouraged to work on course-complementary or independent research projects with department faculty. Funding may be available through the Office of Undergraduate Research.","Germanic and Slavic Languages and Literatures Major, B.A.–Central European Studies Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Honors in Germanic and Slavic Languages and Literatures,"Students majoring in Germanic and Slavic languages and literatures who are qualified for honors work are strongly encouraged to consider taking honors thesis during their senior year. Undertaking an honors project gives students the opportunity to explore a topic in depth under the direction of a faculty member. Students who wish to do honors work should confer with the director of undergraduate studies and choose an honors thesis advisor during the first or second semester of their junior year, and complete an honors thesis contract. Second-semester juniors or first-semester seniors will be enrolled in GSLL691H (honors reading and special studies) for their first semester of honors thesis work, once the honors thesis contract is fully approved. For the second semester, once an updated contract is completed, students will be enrolled in GSLL692H (writing the honors thesis). When GSLL693H is offered, the course replaces GSLL692H and provides an opportunity for students majoring in any of our concentrations to complete their thesis in the context of a small seminar with other honors students. One of these honors courses may count toward the major.","Germanic and Slavic Languages and Literatures Major, B.A.–German Literature and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Student Involvement and Cultural Enrichment beyond the Classroom,"Numerous social and educational events hosted by the department, as well as by student clubs such as the German Club, provide an atmosphere for effective learning and for enjoying German and Slavic culture. There are weekly opportunities in German, Russian, and other languages for informal conversation suitable for both beginning and advanced students. The department periodically sponsors lectures, roundtables, small conferences, and film series for the various languages. Those considering an undergraduate major or minor should request to be added to the appropriate e-mail listserv, in order to ensure they receive information regarding special events and opportunities.The department also hosts receptions and informational meetings for students interested in pursuing a major or minor, or for those seeking opportunities for internships, study abroad, graduate study, and employment in Germany, Russia, and Eastern or Central Europe. Every spring the department presents a Slavic and East European talent night, or Spektakl, featuring skits, songs, puppet shows, plays, and poetry readings in the Slavic and East European languages students are learning. The department also presents full-length plays and dramatic readings in German performed by undergraduate students.","Germanic and Slavic Languages and Literatures Major, B.A.–German Literature and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Study Abroad,"The department encourages students to study and/or engage in internships abroad. These opportunities maximize students linguistic and cultural proficiency, particularly once they have acquired sufficient language skills to benefit most from this immersion experience. Students may participate for a whole year, a single term, or a summer.The Study Abroad Office offers German programs at all universities in the German state of Baden-Wrttemberg, as well as a dedicated exchange program with the Eberhard-Karls-Universitt Tbingen; the Freie University (FUBEX) in Berlin, and the University of Freiburg; at the Vienna (Austria) University of Economics and Business Administration; at the IES European Union and Environmental Programs in Freiburg (Germany); and at the IES Program (3 tracks) in Vienna. Most German programs require that participating students have passed GERM204 (or its equivalent); however, students with no prior knowledge of German may attend the FUBiS or FU-BEST programs in Berlin or the IES program in Freiburg, or also the Baden-Wrttemburg exchange university of Mannheim which offers a number of courses in English. These programs generally include intensive language instruction in addition to content courses taught in English, and most programs offer an orientation course prior to the start of the semester. The yearlong term typically begins in late August and ends in late July, with a two-month vacation between semesters that many students use for travel. Students going abroad for only one term generally do so in the spring semester, which typically begins in late February and ends in late July.The DAAD in conjunction with German universities usually offers some summer internships. Please see an undergraduate advisor in the department office about these opportunities.Students who choose to study Dutch may study abroad in Amsterdam through the IES, or attend SIT Netherlands Program International Perspective on Sexuality and Gender. Exchange programs also are offered in Nijmegen and Groningenand the Erasmus University Rotterdam.Most courses are offered in English but students can study Dutch and even German. Students in economics and/or communication studies may take courses in English at the Erasmus University Rotterdam.Students can study in semester or yearlong programs in Russia, including in Moscow, St. Petersburg, and Vladimir, while earning credit towards their Carolina degree. Students also may participate in the ACTR Moscow summer program in Russia. UNCChapel Hill offers semester-long programs in Prague, Czech Republic, Dobrovnik, Croatia, Budapest, Hungary, and Krakow, Poland (summer also offered). For more information about these and other programs in eastern and central Europe, go to studyabroad.unc.edu. Majors and minors should consult with the director of undergraduate studies or the appropriate undergraduate advisor in advance of going abroad about courses they plan to take for the major or minor.","Germanic and Slavic Languages and Literatures Major, B.A.–German Literature and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Languages across the Curriculum,"The Languages across the Curriculum (LAC) Program encourages majors and minors to enroll in one-credit-hour recitation or discussion sections that are conducted in German or another of our languages, but associated with a variety of courses offered in English on a related subject. Each of these discussion and recitation sections counts as one German language credit (in addition to the credit granted for the course).","Germanic and Slavic Languages and Literatures Major, B.A.–German Literature and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Undergraduate Awards,"Membership in the Beta Rho chapter of Delta Phi Alpha, the German honors society, is available to majors and minors who have completed at least six credit hours of German language coursework at the 300 level and who have maintained high cumulative grade point averages and high grade point averages in the major.The department selects annually one outstanding graduating senior majoring in German to receive the Undergraduate Ria Stambaugh Award for Excellence in German, a monetary award that is presented at the Chancellors Awards Ceremony each spring. Ria Stambaugh was a popular professor of German; after her death in 1984 her sister, friends, and colleagues contributed to a memorial fund to establish the Ria Stambaugh Awards. The undergraduate award was first presented in 1987.Established in 1999, the Paul Debreczeny Prize is awarded each spring to a graduating senior whose work in Slavic languages and literatures has been judged outstanding. This monetary prize honors one of the founding faculty members of the program in Slavic languages and literatures.","Germanic and Slavic Languages and Literatures Major, B.A.–German Literature and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Undergraduate Research,"In addition to honors thesis work, students are encouraged to work on course-complementary or independent research projects with department faculty. Funding may be available through the Office of Undergraduate Research.","Germanic and Slavic Languages and Literatures Major, B.A.–German Literature and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Honors in Germanic and Slavic Languages and Literatures,"Students majoring in Germanic and Slavic languages and literatures who are qualified for honors work are strongly encouraged to consider taking honors thesis during their senior year. Undertaking an honors project gives students the opportunity to explore a topic in depth under the direction of a faculty member. Students who wish to do honors work should confer with the director of undergraduate studies and choose an honors thesis advisor during the first or second semester of their junior year, and complete an honors thesis contract. Second-semester juniors or first-semester seniors will be enrolled in GSLL691H (honors reading and special studies) for their first semester of honors thesis work, once the honors thesis contract is fully approved. For the second semester, once an updated contract is completed, students will be enrolled in GSLL692H (writing the honors thesis). When GSLL693H is offered, the course replaces GSLL692H and provides an opportunity for students majoring in any of our concentrations to complete their thesis in the context of a small seminar with other honors students. One of these honors courses may count toward the major.","Germanic and Slavic Languages and Literatures Major, B.A.–German Media, Arts, and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Student Involvement and Cultural Enrichment beyond the Classroom,"Numerous social and educational events hosted by the department, as well as by student clubs such as the German Club, provide an atmosphere for effective learning and for enjoying German and Slavic culture. There are weekly opportunities in German, Russian, and other languages for informal conversation suitable for both beginning and advanced students. The department periodically sponsors lectures, roundtables, small conferences, and film series for the various languages. Those considering an undergraduate major or minor should request to be added to the appropriate e-mail listserv, in order to ensure they receive information regarding special events and opportunities.The department also hosts receptions and informational meetings for students interested in pursuing a major or minor, or for those seeking opportunities for internships, study abroad, graduate study, and employment in Germany, Russia, and Eastern or Central Europe. Every spring the department presents a Slavic and East European talent night, or Spektakl, featuring skits, songs, puppet shows, plays, and poetry readings in the Slavic and East European languages students are learning. The department also presents full-length plays and dramatic readings in German performed by undergraduate students.","Germanic and Slavic Languages and Literatures Major, B.A.–German Media, Arts, and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Study Abroad,"The department encourages students to study and/or engage in internships abroad. These opportunities maximize students linguistic and cultural proficiency, particularly once they have acquired sufficient language skills to benefit most from this immersion experience. Students may participate for a whole year, a single term, or a summer.The Study Abroad Office offers German programs at all universities in the German state of Baden-Wrttemberg, as well as a dedicated exchange program with the Eberhard-Karls-Universitt Tbingen; the Freie University (FUBEX) in Berlin, and the University of Freiburg; at the Vienna (Austria) University of Economics and Business Administration; at the IES European Union and Environmental Programs in Freiburg (Germany); and at the IES Program (3 tracks) in Vienna. Most German programs require that participating students have passed GERM204 (or its equivalent); however, students with no prior knowledge of German may attend the FUBiS or FU-BEST programs in Berlin or the IES program in Freiburg, or also the Baden-Wrttemburg exchange university of Mannheim which offers a number of courses in English. These programs generally include intensive language instruction in addition to content courses taught in English, and most programs offer an orientation course prior to the start of the semester. The yearlong term typically begins in late August and ends in late July, with a two-month vacation between semesters that many students use for travel. Students going abroad for only one term generally do so in the spring semester, which typically begins in late February and ends in late July.The DAAD in conjunction with German universities usually offers some summer internships. Please see an undergraduate advisor in the department office about these opportunities.Students who choose to study Dutch may study abroad in Amsterdam through the IES, or attend SIT Netherlands Program International Perspective on Sexuality and Gender. Exchange programs also are offered in Nijmegen and Groningenand the Erasmus University Rotterdam.Most courses are offered in English but students can study Dutch and even German. Students in economics and/or communication studies may take courses in English at the Erasmus University Rotterdam.Students can study in semester or yearlong programs in Russia, including in Moscow, St. Petersburg, and Vladimir, while earning credit towards their Carolina degree. Students also may participate in the ACTR Moscow summer program in Russia. UNCChapel Hill offers semester-long programs in Prague, Czech Republic, Dobrovnik, Croatia, Budapest, Hungary, and Krakow, Poland (summer also offered). For more information about these and other programs in eastern and central Europe, go to studyabroad.unc.edu. Majors and minors should consult with the director of undergraduate studies or the appropriate undergraduate advisor in advance of going abroad about courses they plan to take for the major or minor.","Germanic and Slavic Languages and Literatures Major, B.A.–German Media, Arts, and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Languages across the Curriculum,"The Languages across the Curriculum (LAC) Program encourages majors and minors to enroll in one-credit-hour recitation or discussion sections that are conducted in German or another of our languages, but associated with a variety of courses offered in English on a related subject. Each of these discussion and recitation sections counts as one German language credit (in addition to the credit granted for the course).","Germanic and Slavic Languages and Literatures Major, B.A.–German Media, Arts, and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Undergraduate Awards,"Membership in the Beta Rho chapter of Delta Phi Alpha, the German honors society, is available to majors and minors who have completed at least six credit hours of German language coursework at the 300 level and who have maintained high cumulative grade point averages and high grade point averages in the major.The department selects annually one outstanding graduating senior majoring in German to receive the Undergraduate Ria Stambaugh Award for Excellence in German, a monetary award that is presented at the Chancellors Awards Ceremony each spring. Ria Stambaugh was a popular professor of German; after her death in 1984 her sister, friends, and colleagues contributed to a memorial fund to establish the Ria Stambaugh Awards. The undergraduate award was first presented in 1987.Established in 1999, the Paul Debreczeny Prize is awarded each spring to a graduating senior whose work in Slavic languages and literatures has been judged outstanding. This monetary prize honors one of the founding faculty members of the program in Slavic languages and literatures.","Germanic and Slavic Languages and Literatures Major, B.A.–German Media, Arts, and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Undergraduate Research,"In addition to honors thesis work, students are encouraged to work on course-complementary or independent research projects with department faculty. Funding may be available through the Office of Undergraduate Research.","Germanic and Slavic Languages and Literatures Major, B.A.–German Media, Arts, and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Honors in Germanic and Slavic Languages and Literatures,"Students majoring in Germanic and Slavic languages and literatures who are qualified for honors work are strongly encouraged to consider taking honors thesis during their senior year. Undertaking an honors project gives students the opportunity to explore a topic in depth under the direction of a faculty member. Students who wish to do honors work should confer with the director of undergraduate studies and choose an honors thesis advisor during the first or second semester of their junior year, and complete an honors thesis contract. Second-semester juniors or first-semester seniors will be enrolled in GSLL691H (honors reading and special studies) for their first semester of honors thesis work, once the honors thesis contract is fully approved. For the second semester, once an updated contract is completed, students will be enrolled in GSLL692H (writing the honors thesis). When GSLL693H is offered, the course replaces GSLL692H and provides an opportunity for students majoring in any of our concentrations to complete their thesis in the context of a small seminar with other honors students. One of these honors courses may count toward the major.","Germanic and Slavic Languages and Literatures Major, B.A.–Russian Language and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Student Involvement and Cultural Enrichment beyond the Classroom,"Numerous social and educational events hosted by the department, as well as by student clubs such as the German Club, provide an atmosphere for effective learning and for enjoying German and Slavic culture. There are weekly opportunities in German, Russian, and other languages for informal conversation suitable for both beginning and advanced students. The department periodically sponsors lectures, roundtables, small conferences, and film series for the various languages. Those considering an undergraduate major or minor should request to be added to the appropriate e-mail listserv, in order to ensure they receive information regarding special events and opportunities.The department also hosts receptions and informational meetings for students interested in pursuing a major or minor, or for those seeking opportunities for internships, study abroad, graduate study, and employment in Germany, Russia, and Eastern or Central Europe. Every spring the department presents a Slavic and East European talent night, or Spektakl, featuring skits, songs, puppet shows, plays, and poetry readings in the Slavic and East European languages students are learning. The department also presents full-length plays and dramatic readings in German performed by undergraduate students.","Germanic and Slavic Languages and Literatures Major, B.A.–Russian Language and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Study Abroad,"The department encourages students to study and/or engage in internships abroad. These opportunities maximize students linguistic and cultural proficiency, particularly once they have acquired sufficient language skills to benefit most from this immersion experience. Students may participate for a whole year, a single term, or a summer.The Study Abroad Office offers German programs at all universities in the German state of Baden-Wrttemberg, as well as a dedicated exchange program with the Eberhard-Karls-Universitt Tbingen; the Freie University (FUBEX) in Berlin, and the University of Freiburg; at the Vienna (Austria) University of Economics and Business Administration; at the IES European Union and Environmental Programs in Freiburg (Germany); and at the IES Program (3 tracks) in Vienna. Most German programs require that participating students have passed GERM204 (or its equivalent); however, students with no prior knowledge of German may attend the FUBiS or FU-BEST programs in Berlin or the IES program in Freiburg, or also the Baden-Wrttemburg exchange university of Mannheim which offers a number of courses in English. These programs generally include intensive language instruction in addition to content courses taught in English, and most programs offer an orientation course prior to the start of the semester. The yearlong term typically begins in late August and ends in late July, with a two-month vacation between semesters that many students use for travel. Students going abroad for only one term generally do so in the spring semester, which typically begins in late February and ends in late July.The DAAD in conjunction with German universities usually offers some summer internships. Please see an undergraduate advisor in the department office about these opportunities.Students who choose to study Dutch may study abroad in Amsterdam through the IES, or attend SIT Netherlands Program International Perspective on Sexuality and Gender. Exchange programs also are offered in Nijmegen and Groningenand the Erasmus University Rotterdam.Most courses are offered in English but students can study Dutch and even German. Students in economics and/or communication studies may take courses in English at the Erasmus University Rotterdam.Students can study in semester or yearlong programs in Russia, including in Moscow, St. Petersburg, and Vladimir, while earning credit towards their Carolina degree. Students also may participate in the ACTR Moscow summer program in Russia. UNCChapel Hill offers semester-long programs in Prague, Czech Republic, Dobrovnik, Croatia, Budapest, Hungary, and Krakow, Poland (summer also offered). For more information about these and other programs in eastern and central Europe, go to studyabroad.unc.edu. Majors and minors should consult with the director of undergraduate studies or the appropriate undergraduate advisor in advance of going abroad about courses they plan to take for the major or minor.","Germanic and Slavic Languages and Literatures Major, B.A.–Russian Language and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Languages across the Curriculum,"The Languages across the Curriculum (LAC) Program encourages majors and minors to enroll in one-credit-hour recitation or discussion sections that are conducted in German or another of our languages, but associated with a variety of courses offered in English on a related subject. Each of these discussion and recitation sections counts as one German language credit (in addition to the credit granted for the course).","Germanic and Slavic Languages and Literatures Major, B.A.–Russian Language and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Undergraduate Awards,"Membership in the Beta Rho chapter of Delta Phi Alpha, the German honors society, is available to majors and minors who have completed at least six credit hours of German language coursework at the 300 level and who have maintained high cumulative grade point averages and high grade point averages in the major.The department selects annually one outstanding graduating senior majoring in German to receive the Undergraduate Ria Stambaugh Award for Excellence in German, a monetary award that is presented at the Chancellors Awards Ceremony each spring. Ria Stambaugh was a popular professor of German; after her death in 1984 her sister, friends, and colleagues contributed to a memorial fund to establish the Ria Stambaugh Awards. The undergraduate award was first presented in 1987.Established in 1999, the Paul Debreczeny Prize is awarded each spring to a graduating senior whose work in Slavic languages and literatures has been judged outstanding. This monetary prize honors one of the founding faculty members of the program in Slavic languages and literatures.","Germanic and Slavic Languages and Literatures Major, B.A.–Russian Language and Culture Concentration",Germanic and Slavic Languages and Literatures
Special Opportunities in Germanic and Slavic Languages and Literatures,Undergraduate Research,"In addition to honors thesis work, students are encouraged to work on course-complementary or independent research projects with department faculty. Funding may be available through the Office of Undergraduate Research.","Germanic and Slavic Languages and Literatures Major, B.A.–Russian Language and Culture Concentration",Germanic and Slavic Languages and Literatures
